"filename", "language", "Markdown", "toml", "Python", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Xilinx\Projects\openxc2064\README.md", "Markdown", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 47
"c:\Xilinx\Projects\openxc2064\docs\bitstream_format.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Xilinx\Projects\openxc2064\docs\clb_structure.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Xilinx\Projects\openxc2064\docs\implementation_notes.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16
"c:\Xilinx\Projects\openxc2064\docs\routing_architecture.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Xilinx\Projects\openxc2064\pin_planning\spreadsheet_maker.py", "Python", 0, 0, 37, 0, 0, 0, 0, 0, 0, 11, 19, 67
"c:\Xilinx\Projects\openxc2064\simulator\README.md", "Markdown", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21
"c:\Xilinx\Projects\openxc2064\simulator\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"c:\Xilinx\Projects\openxc2064\simulator\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"c:\Xilinx\Projects\openxc2064\simulator\metadata.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Xilinx\Projects\openxc2064\simulator\package-lock.json", "JSON", 0, 0, 0, 2581, 0, 0, 0, 0, 0, 0, 1, 2582
"c:\Xilinx\Projects\openxc2064\simulator\package.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Xilinx\Projects\openxc2064\simulator\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 4, 17
"c:\Xilinx\Projects\openxc2064\simulator\src\LogicArray.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 142, 0, 0, 2, 32, 176
