"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "Markdown", "toml", "Python", "JSON", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Xilinx\Projects\openxc2064\README.md", "Markdown", 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, -17, -47
"c:\Xilinx\Projects\openxc2064\docs\bitstream_format.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Xilinx\Projects\openxc2064\docs\clb_structure.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Xilinx\Projects\openxc2064\docs\implementation_notes.md", "Markdown", 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, -8, -16
"c:\Xilinx\Projects\openxc2064\docs\routing_architecture.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Xilinx\Projects\openxc2064\pin_planning\spreadsheet_maker.py", "Python", 0, 0, 0, 0, 0, -37, 0, 0, 0, -11, -19, -67
"c:\Xilinx\Projects\openxc2064\simulator\README.md", "Markdown", 0, 0, 0, -13, 0, 0, 0, 0, 0, 0, -8, -21
"c:\Xilinx\Projects\openxc2064\simulator\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, -7
"c:\Xilinx\Projects\openxc2064\simulator\index.tsx", "TypeScript JSX", 0, -16, 0, 0, 0, 0, 0, 0, 0, 0, -2, -18
"c:\Xilinx\Projects\openxc2064\simulator\metadata.json", "JSON", 0, 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, -5
"c:\Xilinx\Projects\openxc2064\simulator\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, -2581, 0, 0, 0, -1, -2582
"c:\Xilinx\Projects\openxc2064\simulator\package.json", "JSON", 0, 0, 0, 0, 0, 0, -23, 0, 0, 0, -1, -24
"c:\Xilinx\Projects\openxc2064\simulator\src\App.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, -1, 5
"c:\Xilinx\Projects\openxc2064\simulator\src\LogicArray.tsx", "TypeScript JSX", 0, -142, 0, 0, 0, 0, 0, 0, 0, -2, -32, -176
"c:\Xilinx\Projects\openxc2064\simulator\src\SimulatorContext.tsx", "TypeScript JSX", 0, 439, 0, 0, 0, 0, 0, 0, 0, 62, 102, 603
"c:\Xilinx\Projects\openxc2064\simulator\src\components\BusComponent.tsx", "TypeScript JSX", 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, -3, -15
"c:\Xilinx\Projects\openxc2064\simulator\src\components\LineSegment.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Xilinx\Projects\openxc2064\simulator\src\components\LogicCellRenderer.tsx", "TypeScript JSX", 0, 138, 0, 0, 0, 0, 0, 0, 0, 2, 15, 155
"c:\Xilinx\Projects\openxc2064\simulator\src\components\LogicElementComponent.tsx", "TypeScript JSX", 0, -177, 0, 0, 0, 0, 0, 0, 0, -13, -34, -224
"c:\Xilinx\Projects\openxc2064\simulator\src\components\LogicElementModal.tsx", "TypeScript JSX", 0, 219, 0, 0, 0, 0, 0, 0, 0, 15, 31, 265
"c:\Xilinx\Projects\openxc2064\simulator\src\components\LogicElementPrimitives.tsx", "TypeScript JSX", 0, 232, 0, 0, 0, 0, 0, 0, 0, 0, 22, 254
"c:\Xilinx\Projects\openxc2064\simulator\src\components\NodeBusComponent.tsx", "TypeScript JSX", 0, -24, 0, 0, 0, 0, 0, 0, 0, 0, -5, -29
"c:\Xilinx\Projects\openxc2064\simulator\src\components\NodeComponent.tsx", "TypeScript JSX", 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, -4, -21
"c:\Xilinx\Projects\openxc2064\simulator\src\components\SimulationCanvas.tsx", "TypeScript JSX", 0, 105, 0, 0, 0, 0, 0, 0, 0, 5, 12, 122
"c:\Xilinx\Projects\openxc2064\simulator\src\components\SimulationToolbar.tsx", "TypeScript JSX", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65
"c:\Xilinx\Projects\openxc2064\simulator\src\components\SwitchComponent.tsx", "TypeScript JSX", 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, -2, -14
"c:\Xilinx\Projects\openxc2064\simulator\src\components\SwitchMatrixEditor.tsx", "TypeScript JSX", 0, 163, 0, 0, 0, 0, 0, 0, 0, 6, 23, 192
"c:\Xilinx\Projects\openxc2064\simulator\src\components\modals\LogicElementModal.tsx", "TypeScript JSX", 0, -202, 0, 0, 0, 0, 0, 0, 0, -12, -33, -247
"c:\Xilinx\Projects\openxc2064\simulator\src\components\modals\LogicElementPrimitives.tsx", "TypeScript JSX", 0, -232, 0, 0, 0, 0, 0, 0, 0, -10, -23, -265
"c:\Xilinx\Projects\openxc2064\simulator\src\configs\Routing.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Xilinx\Projects\openxc2064\simulator\src\configs\configs.ts", "TypeScript", 309, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 333
"c:\Xilinx\Projects\openxc2064\simulator\src\constants.tsx", "TypeScript JSX", 0, -25, 0, 0, 0, 0, 0, 0, 0, 0, -4, -29
"c:\Xilinx\Projects\openxc2064\simulator\src\context\SimulatorContext.tsx", "TypeScript JSX", 0, -45, 0, 0, 0, 0, 0, 0, 0, -4, -22, -71
"c:\Xilinx\Projects\openxc2064\simulator\src\models\IOBank.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24
"c:\Xilinx\Projects\openxc2064\simulator\src\models\LogicCell.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 23, 32, 157
"c:\Xilinx\Projects\openxc2064\simulator\src\models\LogicElement.tsx", "TypeScript JSX", 0, -104, 0, 0, 0, 0, 0, 0, 0, -15, -31, -150
"c:\Xilinx\Projects\openxc2064\simulator\src\models\SwitchMatrix.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 53
"c:\Xilinx\Projects\openxc2064\simulator\src\styles\Bus.css", "PostCSS", 0, 0, -15, 0, 0, 0, 0, 0, 0, -1, -3, -19
"c:\Xilinx\Projects\openxc2064\simulator\src\styles\LogicArray.css", "PostCSS", 0, 0, -35, 0, 0, 0, 0, 0, 0, -1, -7, -43
"c:\Xilinx\Projects\openxc2064\simulator\src\styles\Modal.css", "PostCSS", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Xilinx\Projects\openxc2064\simulator\src\styles\Node.css", "PostCSS", 0, 0, -10, 0, 0, 0, 0, 0, 0, -1, -1, -12
"c:\Xilinx\Projects\openxc2064\simulator\src\styles\Switch.css", "PostCSS", 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, -1, -11
"c:\Xilinx\Projects\openxc2064\simulator\src\types.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Xilinx\Projects\openxc2064\simulator\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, 0, -29
"c:\Xilinx\Projects\openxc2064\simulator\vite.config.ts", "TypeScript", -22, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -24
"c:\Xilinx\Projects\openxc2064\src\openxc2064\__init__.py", "Python", 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, -1, -5
"c:\Xilinx\Projects\openxc2064\src\openxc2064\hdl\__init__.py", "Python", 0, 0, 0, 0, 0, -2, 0, 0, 0, -4, -2, -8
"c:\Xilinx\Projects\openxc2064\src\openxc2064\hdl\ast_nodes.py", "Python", 0, 0, 0, 0, 0, -97, 0, 0, 0, -4, -50, -151
"c:\Xilinx\Projects\openxc2064\src\openxc2064\hdl\parser.py", "Python", 0, 0, 0, 0, 0, -193, 0, 0, 0, -14, -51, -258
"c:\Xilinx\Projects\openxc2064\src\openxc2064\simulator\__init__.py", "Python", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, -2
"c:\Xilinx\Projects\openxc2064\src\openxc2064\simulator\high_level_rtl_simulator.py", "Python", 0, 0, 0, 0, 0, -239, 0, 0, 0, -47, -69, -355
"c:\Xilinx\Projects\openxc2064\src\openxc2064\synthesis\__init__.py", "Python", 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, -1, -3
"c:\Xilinx\Projects\openxc2064\src\openxc2064\synthesis\elaborator.py", "Python", 0, 0, 0, 0, 0, -268, 0, 0, 0, -48, -74, -390
"c:\Xilinx\Projects\openxc2064\src\openxc2064\synthesis\rtl_nodes.py", "Python", 0, 0, 0, 0, 0, -72, 0, 0, 0, -9, -29, -110
"c:\Xilinx\Projects\openxc2064\src\openxc2064\synthesis\synthesis.py", "Python", 0, 0, 0, 0, 0, -255, 0, 0, 0, -27, -56, -338
"c:\Xilinx\Projects\openxc2064\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Xilinx\Projects\openxc2064\tests\test_elaborator.py", "Python", 0, 0, 0, 0, 0, -627, 0, 0, 0, -20, -80, -727
"c:\Xilinx\Projects\openxc2064\tests\test_high_level_rtl_simulator.py", "Python", 0, 0, 0, 0, 0, -600, 0, 0, 0, -39, -256, -895
"c:\Xilinx\Projects\openxc2064\tests\test_integration_high_level_rtl_simulator.py", "Python", 0, 0, 0, 0, 0, -539, 0, 0, 0, -29, -125, -693
"c:\Xilinx\Projects\openxc2064\tests\test_parser.py", "Python", 0, 0, 0, 0, 0, -601, 0, 0, 0, -67, -105, -773
"c:\Xilinx\Projects\openxc2064\tests\test_synthesiser.py", "Python", 0, 0, 0, 0, 0, -372, 0, 0, 0, -41, -116, -529
"c:\Xilinx\Projects\openxc2064\uv.lock", "toml", 0, 0, 0, 0, -179, 0, 0, 0, 0, 0, -16, -195
"Total", "-", 482, 383, -52, -51, -179, -3909, -2609, -29, -7, -305, -1002, -7278
