"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Xilinx\Projects\openxc2064\simulator\src\App.tsx", "TypeScript JSX", 0, 19, 0, 0, 3, 22
"c:\Xilinx\Projects\openxc2064\simulator\src\SimulatorContext.tsx", "TypeScript JSX", 0, 439, 0, 62, 102, 603
"c:\Xilinx\Projects\openxc2064\simulator\src\components\LineSegment.tsx", "TypeScript JSX", 0, 28, 0, 0, 3, 31
"c:\Xilinx\Projects\openxc2064\simulator\src\components\LogicCellRenderer.tsx", "TypeScript JSX", 0, 138, 0, 2, 15, 155
"c:\Xilinx\Projects\openxc2064\simulator\src\components\LogicElementModal.tsx", "TypeScript JSX", 0, 219, 0, 15, 31, 265
"c:\Xilinx\Projects\openxc2064\simulator\src\components\LogicElementPrimitives.tsx", "TypeScript JSX", 0, 232, 0, 0, 22, 254
"c:\Xilinx\Projects\openxc2064\simulator\src\components\SimulationCanvas.tsx", "TypeScript JSX", 0, 105, 0, 5, 12, 122
"c:\Xilinx\Projects\openxc2064\simulator\src\components\SimulationToolbar.tsx", "TypeScript JSX", 0, 61, 0, 0, 4, 65
"c:\Xilinx\Projects\openxc2064\simulator\src\components\SwitchMatrixEditor.tsx", "TypeScript JSX", 0, 163, 0, 6, 23, 192
"c:\Xilinx\Projects\openxc2064\simulator\src\configs\Routing.ts", "TypeScript", 13, 0, 0, 0, 4, 17
"c:\Xilinx\Projects\openxc2064\simulator\src\configs\configs.ts", "TypeScript", 309, 0, 0, 1, 23, 333
"c:\Xilinx\Projects\openxc2064\simulator\src\models\IOBank.ts", "TypeScript", 16, 0, 0, 0, 8, 24
"c:\Xilinx\Projects\openxc2064\simulator\src\models\LogicCell.ts", "TypeScript", 102, 0, 0, 23, 32, 157
"c:\Xilinx\Projects\openxc2064\simulator\src\models\SwitchMatrix.ts", "TypeScript", 42, 0, 0, 0, 11, 53
"c:\Xilinx\Projects\openxc2064\simulator\src\styles\Modal.css", "PostCSS", 0, 0, 104, 0, 11, 115
"c:\Xilinx\Projects\openxc2064\simulator\src\types.ts", "TypeScript", 22, 0, 0, 0, 6, 28
"Total", "-", 504, 1404, 104, 114, 310, 2436
