# openxc2064 pin assignments for six 8-bit counters on the 8x8 configuration
# One contiguous run of pads per counter
To,Direction,Location
clk,Input,OSC
c0[0],Output,N[0]
c0[1],Output,N[1]
c0[2],Output,N[2]
c0[3],Output,N[3]
c0[4],Output,N[4]
c0[5],Output,N[5]
c0[6],Output,N[6]
c0[7],Output,N[7]
c1[0],Output,N[8]
c1[1],Output,N[9]
c1[2],Output,N[10]
c1[3],Output,N[11]
c1[4],Output,N[12]
c1[5],Output,N[13]
c1[6],Output,N[14]
c1[7],Output,N[15]
c2[0],Output,S[0]
c2[1],Output,S[1]
c2[2],Output,S[2]
c2[3],Output,S[3]
c2[4],Output,S[4]
c2[5],Output,S[5]
c2[6],Output,S[6]
c2[7],Output,S[7]
c3[0],Output,S[8]
c3[1],Output,S[9]
c3[2],Output,S[10]
c3[3],Output,S[11]
c3[4],Output,S[12]
c3[5],Output,S[13]
c3[6],Output,S[14]
c3[7],Output,S[15]
c4[0],Output,E[0]
c4[1],Output,E[1]
c4[2],Output,E[2]
c4[3],Output,E[3]
c4[4],Output,E[4]
c4[5],Output,E[5]
c4[6],Output,E[6]
c4[7],Output,E[7]
c5[0],Output,W[3]
c5[1],Output,W[4]
c5[2],Output,W[5]
c5[3],Output,W[6]
c5[4],Output,W[7]
c5[5],Output,W[8]
c5[6],Output,W[9]
c5[7],Output,W[10]
